scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
24,Uruguay,individual,none,-0.066,-0.217,-0.251
24,Uzbekistan,individual,none,-0.014,-0.053,-0.060
24,Venezuela (Bolivarian Republic of),individual,none,-0.022,-0.073,-0.085
24,Viet Nam,individual,none,-0.202,-0.782,-0.975
24,Zimbabwe,individual,none,-0.049,-0.171,-0.182
26,Albania,individual,All economies,-0.050,-0.096,-0.099
26,Algeria,individual,All economies,-0.140,-0.218,-0.232
26,Argentina,individual,All economies,-0.043,-0.063,-0.066
26,Armenia,individual,All economies,-0.024,-0.034,-0.038
26,Australia,individual,All economies,-0.122,-0.189,-0.205
26,Bahrain,individual,All economies,-0.132,-0.191,-0.190
26,Bangladesh,individual,All economies,-0.121,-0.185,-0.184
26,Belgium,individual,All economies,-0.137,-0.205,-0.219
26,Bolivia (Plurinational State of),individual,All economies,-0.006,-0.007,-0.005
26,Botswana,individual,All economies,-0.001,0.001,0.013
26,Brazil,individual,All economies,-0.057,-0.080,-0.083
26,Brunei Darussalam,individual,All economies,-0.103,-0.133,-0.122
26,Bulgaria,individual,All economies,-0.091,-0.136,-0.140
26,Cameroon,individual,All economies,-0.064,-0.099,-0.094
26,Canada,individual,All economies,-0.074,-0.112,-0.123
26,Chile,individual,All economies,-0.227,-0.341,-0.361
26,China,individual,All economies,-0.072,-0.101,-0.107
26,Colombia,individual,All economies,-0.104,-0.156,-0.156
26,Costa Rica,individual,All economies,-0.205,-0.304,-0.299
26,Croatia,individual,All economies,-0.063,-0.097,-0.103
26,Cyprus,individual,All economies,-0.098,-0.159,-0.162
26,Côte d'Ivoire,individual,All economies,-0.094,-0.135,-0.125
26,Denmark,individual,All economies,-0.080,-0.122,-0.133
26,Dominican Republic,individual,All economies,-0.117,-0.178,-0.173
26,Ecuador,individual,All economies,-0.149,-0.217,-0.213
26,Egypt,individual,All economies,-0.124,-0.209,-0.221
26,El Salvador,individual,All economies,-0.122,-0.176,-0.172
26,Equatorial Guinea,individual,All economies,-0.014,-0.004,0.011
26,Estonia,individual,All economies,-0.116,-0.186,-0.202
