iso3,income_group,gdp_pc,mean_distance_nm,t_per_musd,t_per_capita,share_pct,resolved,sids,ldc
GRD,Upper middle income,12106.87901417696,212.8513651704341,60.290907747730536,0.729934725756678,0.002396740611911,False,True,False
VCT,Upper middle income,12561.76916456507,193.21091767298503,54.48541247006738,0.6844331742851015,0.0019143826635592,False,True,False
KNA,High income,25223.025766165127,321.38733872500995,57.30214599124361,1.4453335047936933,0.0018983333433563,False,True,False
TKM,Upper middle income,6540.178764057081,220.5151413431796,0.9688010239221,0.006336131883252,0.0013512675608696,False,False,False
STP,Lower middle income,4084.400621841884,1230.9110132338396,49.12397552220277,0.2006419961702304,0.0013493367767476,False,True,True
DMA,Upper middle income,10989.043114572421,254.74154073906604,65.83518695280932,0.7234657078803574,0.0013339516776288,False,True,False
AZE,Upper middle income,7410.722816618646,178.79524629278112,0.5921508678758263,0.0043882659474479,0.0012586859862221,False,False,False
TUV,Upper middle income,6041.449115044248,1492.5913562444982,513.1793149040459,3.1003467178860618,0.0008237508667863,False,True,True
NRU,High income,14639.504698544699,2459.38548081747,166.75792789383698,2.4412534689214045,0.0008217237680115,False,True,False
KAZ,Upper middle income,14692.133175722569,217.03355429393815,0.0446647584568205,0.000656220579509,0.0003828720604242,False,False,False
PRY,Upper middle income,7026.6190614164,205.0019250370045,0.0631083656241954,0.0004434384448298,8.705022583545516e-05,True,False,False
MDA,Upper middle income,8621.717216113182,438.0845828623148,0.0070410238529003,6.07057165716147e-05,4.011127368446188e-06,False,False,False
