iso3,co2_t,share_pct,resolved,sids,ldc,dependency,t_per_capita,t_per_musd
MNP,183069.44475221695,0.005124408640596656,False,False,False,True,4.204530092377689,167.03416491990598
MYT,180484.63565451172,0.005052055670430054,False,False,False,True,,
MNE,178900.76564618314,0.0050077205976534565,False,False,False,False,0.2871006896584546,19.37665034002582
TON,175499.1239072812,0.004912503166133759,False,True,False,False,1.691688264225494,258.3840053137344
ESH,171714.17315780258,0.0048065562979870136,False,False,False,True,,
SYR,166187.6216087108,0.004651859218148266,True,False,False,False,0.006486528175690077,7.00101859772776
GUF,145878.9870020431,0.0040833878230556245,False,False,False,True,,
TLS,136624.38590902725,0.0038243366314681137,False,True,True,False,0.0963149443461215,71.82515186687803
ERI,124402.62040041636,0.003482229728481435,False,False,True,False,0.03448919238503998,60.24335227347484
MAF,111585.5457243671,0.0031234591629945687,False,False,False,True,4.473980422772427,171.8799587803223
HKG,104793.08691954368,0.0029333272999879085,False,False,False,True,0.013974461176911772,0.24523884169150814
GNB,104399.53242152448,0.0029223110756642647,False,True,True,False,0.04640979607672075,41.298422482843726
PLW,93197.55336292044,0.002608749638050312,False,True,False,False,5.276428316985815,270.137835834552
BMU,90273.88296820356,0.0025269113943541996,False,False,False,True,1.3984026484114873,9.818249256235012
GRD,85623.53313543559,0.002396740611911026,False,True,False,False,0.729934725756678,60.290907747730536
VCT,68391.30050726449,0.0019143826635592861,False,True,False,False,0.6844331742851015,54.48541247006738
KNA,67817.93871192967,0.0018983333433563517,False,True,False,False,1.4453335047936933,57.30214599124361
SHN,67379.58382566714,0.0018860630840028486,False,False,False,True,,
FLK,65605.26229704403,0.0018363969664004307,False,False,False,True,,
CYM,56884.72396746876,0.0015922950518116026,False,False,False,True,0.750022730439702,7.325467985945157
CXR,50664.99246178406,0.001418194748437323,False,False,False,True,,
TKM,48274.019390319416,0.0013512675608696174,False,False,False,False,0.006336131883252074,0.9688010239220999
STP,48205.04214788255,0.0013493367767476333,False,True,True,False,0.20064199617023049,49.12397552220277
DMA,47655.40964378702,0.0013339516776288147,False,True,False,False,0.7234657078803574,65.83518695280932
VGB,45232.60096276711,0.0012661333600699493,False,False,False,True,1.1384425894182801,
AZE,44966.54361043504,0.0012586859862221177,False,False,False,False,0.004388265947447919,0.5921508678758263
TUV,29428.4910461745,0.0008237508667863686,False,True,True,False,3.1003467178860618,513.1793149040459
NRU,29356.07296377989,0.0008217237680115804,False,True,False,False,2.4412534689214045,166.75792789383698
ATA,26415.70750297084,0.000739418202523709,False,False,False,False,,
COK,25495.37030639564,0.0007136564819439815,False,True,False,True,1.5175815658568832,61.569337988648996
SJM,22202.759633447997,0.0006214910055838456,False,False,False,False,,
KAZ,13678.10032902488,0.00038287206042424105,False,False,False,False,0.0006562205795090884,0.04466475845682055
WLF,9989.07138883159,0.0002796101982269521,False,False,False,True,,
NIU,8546.068271162183,0.00023921821662346022,False,True,False,True,,
PRK,6021.794372257223,0.00016855972417929968,False,False,False,False,0.00022663001819941167,
CCK,5770.861866636398,0.00016153571915350005,False,False,False,True,,
SGS,5068.120009287815,0.00014186484261383427,False,False,False,True,,
PRY,3109.8684017901323,8.705022583545516e-05,True,False,False,False,0.0004434384448298069,0.0631083656241954
MSR,772.9241011329747,2.1635390590341834e-05,False,False,False,True,,
AIA,379.8584487778702,1.0632849844252275e-05,False,False,False,True,,
SPM,279.92241138127747,7.835479183980534e-06,False,False,False,True,,
MDA,143.29748302164393,4.011127368446188e-06,False,False,False,False,6.07057165716147e-05,0.007041023852900371
BLM,74.7956830735611,2.0936516475496875e-06,False,False,False,True,,
IMN,26.711820650834294,7.477068865013086e-07,False,False,False,True,0.0003175517802472039,0.003525787029401822
ALA,2.77128544579462,7.757274351932907e-08,False,False,False,True,,
