iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
CYP,0.0479924314283914,True,False,False,1370754.0,1.250792708006792,41.58875359732296,-77.91155433726874,-125.07927080067897,-125.07927080067897
LBN,0.0458710257413384,False,False,False,5849421.0,0.2801545506518386,63.0973513690488,19.152261398226408,29.3108296200372,-28.015455065183826
LVA,0.0448236725620268,True,False,False,1847785.0,0.8666188060410959,32.93629115993709,-39.494164140699304,-86.66188060410954,-86.66188060410954
BEN,0.0444334902230546,False,False,True,14814460.0,0.1071511192826085,64.61608619222872,36.45260453514937,46.61117275696017,432.64085957413363
TUN,0.0417729264318262,True,False,False,12348573.0,0.1208509968826,25.95241290195909,35.08261677515024,45.241184996961046,-12.085099688259985
HRV,0.04159521985916,True,False,False,3876200.0,0.3833622598651707,14.144167283648526,8.831490476893197,-38.336225986517036,-38.336225986517036
SLE,0.0409150953932306,False,False,True,8819794.0,0.1657285138748346,195.8280319229141,30.594865075926776,40.75343329773757,426.78312011491096
ISL,0.0404765698654953,False,False,False,392404.0,3.685041519554364,37.478752114648245,-321.33643549202566,-368.5041519554359,-368.5041519554359
CUB,0.0366337957819704,False,True,False,10937203.0,0.1196596578439208,12.191127959884346,35.20175067901817,45.360318900828965,431.3900057180024
MDG,0.0351408837149695,True,False,True,32740678.0,0.0383439738440485,63.98497328513559,43.33331907900538,53.491887300816174,439.52157411798964
FJI,0.0336039914784645,False,True,False,933154.0,1.286499593737663,193.69146690815336,-81.48224291035594,-71.32367468854514,314.7060121286284
SDN,0.0333680867454313,False,False,True,51662147.0,0.0230744290938954,19.814201226903563,44.86027355402069,55.0188417758315,441.04852859300485
SLV,0.0324818211314779,True,False,False,6365503.0,0.1822970970336729,31.61188952684124,28.938006760042946,39.09657498185375,-18.229709703367284
KHM,0.0283385922017756,False,False,True,17847982.0,0.0567232703479842,19.74749074293255,41.49538942861183,51.65395765042263,437.6836444675961
CPV,0.0280150237632177,False,True,False,527326.0,1.897946297148159,327.4312843416905,-142.6269132514051,-132.46834502959433,253.5613417875791
LBR,0.0244302660372884,False,False,True,5731206.0,0.1522840039356097,166.37078961399845,31.939316069849312,42.097884291660115,428.12757110883354
BGR,0.022719162312787,True,False,False,6433302.0,0.1261625576587123,6.206292947098734,34.551460697539056,-12.616255765871182,-12.616255765871182
NIC,0.0214869196036006,True,False,False,7007502.0,0.1095425983031138,34.519683770578446,36.2134566330989,46.372024854909704,-10.954259830311335
MDV,0.0211316976914165,False,True,False,529676.0,1.425266913396321,97.52269179116573,-95.35897487622128,-85.20040665441049,300.8292801627629
YEM,0.0206261580071912,False,False,True,41773878.0,0.0176394750260398,34.1045912420575,45.40376896080625,55.56233718261705,441.5920239997905
HTI,0.0193105415663613,False,True,True,11906095.0,0.0579424987134503,21.506465898495904,41.37346659206521,51.53203481387601,437.56172163104947
SOM,0.0192489971743181,False,False,True,19654739.0,0.0349875020707073,52.91724801940045,43.66896625633951,53.827534478150305,439.8572212953237
GEO,0.0192090154684532,True,False,False,3935766.0,0.1743604359203485,17.99100358031584,29.731672871375423,39.89024109318622,-17.436043592034807
SLB,0.0183477925685456,False,True,True,838645.0,0.7815877950806825,374.6485028544994,-30.991063044657878,-20.832494822847078,365.1971919943264
GUY,0.017520042804232,False,True,False,835986.0,0.7487007495187605,23.09821463274163,-27.702358488465787,-74.87007495187602,368.4858965505184
SYC,0.0151013253754688,False,True,False,122730.0,4.395784975971751,226.01153123564717,-392.4107811337634,-439.5784975971736,3.7774739052208255
BRB,0.0123146267221738,False,True,False,282623.0,1.5566316614052798,54.87895791098969,-108.49544967711708,-155.66316614052732,287.69280536186716
COM,0.0121313744821898,False,True,True,882847.0,0.4909041155450481,238.79455914776216,-1.9226950910943854,8.235873130716412,394.2655599478898
LCA,0.010635269492827,False,True,False,180149.0,2.109059116052486,143.02760652717768,-163.73819514183657,-153.57962692002576,232.45005989714767
VUT,0.0105158137525181,False,True,False,335169.0,1.1208594339943228,277.52733868669293,-64.91822693602167,-54.75965871421088,331.2700281029626
MHL,0.0099843978758339,False,True,False,36282.0,9.831114851191115,1158.0925617886885,-935.9437686557009,-925.78520043389,-539.7555136167166
GMB,0.0094837130956877,False,False,True,2822093.0,0.1200547078107545,130.62765486229475,35.16224568233487,45.32081390414567,431.3505007213191
SUR,0.0093830565841351,False,True,False,639850.0,0.5238877826270875,74.10144903892737,-5.221061799298301,4.937506422512498,390.96719323968597
FSM,0.0080557350749766,False,True,False,113683.0,2.531522310010964,573.5201817804159,-205.9845145376846,-195.8259463158738,190.20374050129962
ALB,0.0079065936907445,True,False,False,2349580.0,0.1202184970875482,9.248894403679216,35.14586675465556,45.30443497646636,-12.021849708754674
ASM,0.007896477028536,False,False,False,46029.0,6.128778785896665,323.88238660853915,-565.7101621262501,-612.8778785896603,-612.8778785896603
BLZ,0.0064227246400194,False,True,False,422924.0,0.5425366500060321,68.97693376436227,-7.085948537192365,3.0726196846184313,389.10230650179193
KIR,0.0057740066785265,False,True,True,136488.0,1.5113147516295182,590.6650338934019,-103.96375869953913,-93.80519047772833,292.2244963394451
WSM,0.0051846342583986,False,True,False,219306.0,0.8445779153982795,143.81220407158753,-37.290075076416336,-27.131506854605536,358.89817996256795
ATG,0.0051752268346078,False,True,False,94209.0,1.9624974705008875,79.07160083809238,-149.08203058667678,-196.24974705008702,247.1062244523075
MNE,0.0050077205976534,False,False,False,623129.0,0.2871006896584546,19.37665034002582,18.457647497565098,28.616215719375898,-28.71006896584513
TON,0.0049125031661337,False,True,False,103742.0,1.691688264225494,258.3840053137344,-122.00110995913712,-111.84254173732631,274.1871450798471
SYR,0.0046518592181482,True,False,False,25620427.0,0.00648652817569,7.00101859772776,46.519063645841236,56.67763186765203,-0.6486528175689985
TLS,0.0038243366314681,False,True,True,1418517.0,0.0963149443461215,71.82515186687803,37.536222028798115,47.69479025060892,433.72447706778235
